نام,نام خانوادگی,استان,شهر,جنسیت,شاخص عملکرد,رتبه,تعداد عملکرد ثبت شده,درصد حضور,درصد غیبت,تعداد حضور در رای‌گیری,رای موافق,رای مخالف,رای ممتنع,عدم مشارکت در رای‌گیری,کمیسیون سال اول,کمیسیون سال دوم,کمیسیون سال سوم,کمیسیون سال چهارم,توضیحات
احمد,مرادی,هرمزگان,ابوموسی / بندرعباس,آقا,1030,120,2046,60,40,1235,1010,212,3,10,نایب رئیس دوم کمیسیون انرژی,نایب رئیس دوم کمیسیون انرژی,عضو کمیسیون انرژی,نایب رئیس اول کمیسیون انرژی,سوابق و فعالیت ها : -فرماندار شهرستان بندر عباس تحصیلات: -کارشناسی ارشد حقوق عمومی
امیرقلی,جعفری‌بروجنی,چهارمحال و بختیاری,بروجن,آقا,1026,121,1826,79,21,1437,974,250,10,203,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : مسئول نهاد رهبری دانشگاه شهرکرد میزان تحصیلات : دکترای حوزوی
حسین,گودرزی,لرستان,ازنا / دورود,آقا,1024,122,1578,90,10,1414,859,160,205,190,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,عضو کمیسیون اجتماعی,سخنگو کمیسیون اجتماعی,سوابق اجرایی : رییس مرکز پژوهش های اسلامی سازمان صدا و سیما میزان تحصیلات : دکترای حقوق
محمدمهدی,فروردین,فارس,فیروزآباد,آقا,1023,123,1888,83,17,1566,1082,162,32,290,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,سوابق اجرایی : استاد دانشگاه میزان تحصیلات : دانشجوی دکترای مدیریت
سیدمحمد,مولوی,خوزستان,آبادان,آقا,1021,124,2046,60,40,1231,994,173,18,46,نایب رئیس دوم کمیسیون آموزش و تحقیقات,نایب رئیس دوم کمیسیون آموزش و تحقیقات,نایب رئیس دوم کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,سوابق اجرایی : معاون فرمانداری آبادان میزان تحصیلات : کارشناسی ارشد ادبیات عرب
احمد,نادری,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,1017,125,1888,89,11,1686,957,215,49,465,عضو کمیسیون آموزش و تحقیقات,نایب رئیس اول کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات,عضو کمیسیون آموزش و تحقیقات - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : هیات علمی دانشگاه تهران- ریاست جهاد دانشگاهی واحد تهران میزان تحصیلات : دکترای علوم اجتماعی از برلین
ولی‌الله,فرزانه,مازندران,محمود آباد / نور,آقا,1008,126,1869,72,28,1343,931,243,12,157,عضو کمیسیون برنامه و بودجه و محاسبات,دبیر دوم کمیسیون برنامه و بودجه و محاسبات,دبیر دوم کمیسیون برنامه و بودجه و محاسبات,دبیر دوم کمیسیون برنامه و بودجه و محاسبات,سوابق اجرایی : معاون استاندار و رئیس سازمان برنامه بودجه میزان تحصیلات : فوق لیسانس
مرتضی,آقاطهرانی,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,1006,127,1826,77,23,1407,996,223,43,145,رئیس کمیسیون فرهنگی,رئیس کمیسیون فرهنگی,رئیس کمیسیون فرهنگی,رئیس کمیسیون فرهنگی,سوابق و فعالیت ها: - تدریس در حوزه های علمیه - امام جمعه - نماینده دور هشتم مجلس شورای اسلامی تحصیلات: - در علوم حوزه (اجتهاد) - دکترای فلسفه و عرفان - فوق لیسانس مطالعات اسلامی - فوق لیسانس عرفان
سیدجلیل,میرمحمدی‌میبدی,یزد,تفت / میبد,آقا,1001,128,2046,72,28,1477,997,232,12,236,عضو کمیسیون بهداشت و درمان - عضو کمیسیون تلفیق,نایب رئیس اول کمیسیون بهداشت و درمان - عضو کمیسیون تلفیق,نایب رئیس دوم کمیسیون بهداشت و درمان - عضو کمیسیون اصل نودم قانون اساسی مجلس - عضو کمیسیون تلفیق,عضو کمیسیون بهداشت و درمان - عضو کمیسیون اصل نودم قانون اساسی مجلس,سوابق اجرایی : هیات علمی -رئیس دانشگاه علوم پزشکی یزد میزان تحصیلات : دکترای پزشکی
غلامرضا,منتظری,گلستان,آق قلا / گرگان,آقا,1001,128,2046,69,31,1406,1022,185,29,170,نایب رئیس دوم کمیسیون فرهنگی,نایب رئیس دوم کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,سوابق اجرایی : مدیرکل اسبق فرهنگ و ارشاد اسلامی استان میزان تحصیلات : دکترای فرهنگ و تمدن اسلامی
سیدحمیدرضا,کاظمی,لرستان,پلدختر,آقا,1000,130,1869,76,24,1428,989,201,15,223,عضو کمیسیون امور داخلی کشور و شوراها,عضو کمیسیون امور داخلی کشور و شوراها,نایب رئیس اول کمیسیون امور داخلی کشور و شوراها,نایب رئیس اول کمیسیون امور داخلی کشور و شوراها,سوابق و فعالیت ها : -مشاور وزیر دادگستری تحصیلات: -کارشناسی ارشد علوم سیاسی
رحمت‌الله,فیروزی‌پور بادی,اصفهان,نطنز,آقا,995,131,1878,75,25,1401,916,89,123,273,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,سوابق اجرایی : مشاور پارلمانی و بازرش ویژه شرکت فرودگاهها میزان تحصیلات : کارشناسی ارشد مدیریت دولتی
اقبال,شاکری,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,985,132,2046,66,34,1350,989,196,16,149,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران,عضو کمیسیون عمران - عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : عضو هیأت علمی دانشگاه صنعتی امیر کبیر میزان تحصیلات : دکترای مهندسی عمران
حسین,نوش‌آبادی,تهران,ورامین,آقا,971,133,1869,81,19,1511,956,150,121,284,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی,عضو کمیسیون امنیت ملی و سیاست خارجی - عضو کمیسیون تلفیق,عضو کمیسیون امنیت ملی و سیاست خارجی,
سیدرضا,تقوی,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,963,134,1651,84,16,1385,850,194,33,308,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,عضو کمیسیون فرهنگی,
علیرضا,زندیان,کردستان,بیجار,آقا,963,134,1797,72,28,1299,943,158,20,178,,دبیر دوم کمیسیون اقتصادی,عضو کمیسیون اقتصادی - عضو کمیسیون تلفیق,عضو کمیسیون اقتصادی,
روح‌الله,ایزدخواه,تهران,اسلامشهر / تهران / ری / شمیرانات,آقا,961,136,2046,58,42,1190,719,240,15,216,عضو کمیسیون صنایع و معادن,عضو کمیسیون صنایع و معادن,,عضو کمیسیون کمیسیون تلفیق برنامه هفتم,سوابق اجرایی : رییس هیات مدیره و مدیرعامل اندیشگاه توسعه منطقه ای فناوران میزان تحصیلات : دکترای مدیریت فناوری
محمد,سبزی,مرکزی,زرندیه / ساوه,آقا,958,137,1888,74,26,1398,999,216,7,176,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,عضو کمیسیون کشاورزی،  آب و منابع طبیعی,سوابق اجرایی : رئیس حوزه علمیه ساوه میزان تحصیلات : سطح دو حوزه
